"Mean_AUC","Mean_pAUC_ratio_at_5.","P_value","Model"
0.434829575141866,1.01461174955338,0,"DNC-1"
0.458829383858933,1.0632438403544,0.309,"DNC-2"
0.541623013251851,1.1345637661,0,"DNC-3"
0.409120543251768,1.00974938844691,0.0052,"DNC-4"
0.559245309347126,1.0964272044251,0,"DNC-5"
0.578459549733563,1.08232556839849,0,"DNC-6"
0.583324414620687,1.1846090669403,0,"DNC-7"
0.448346305294975,1.06202761678353,0,"DNC-8"
0.444186783358179,1.01825588276902,0,"DNC-9"
0.35066218404342,1.00966601815926,1e-04,"DNC-10"
0.507632394351697,1.07035578354392,0,"DNC-11"
0.476596801930537,1.03938543643298,0,"DNC-12"
0.49335162600789,1.11984517469011,0,"DNC-13"
0.50829414270654,1.19511554148327,0,"DNC-14"
0.391712536341699,1.07117109841357,0,"DNC-15"
0.532413807168683,1.15575128580876,0,"DNC-16"
0.562851948656284,1.11450846877461,0,"DNC-17"
0.524311669082585,1.11530852791955,0,"DNC-18"
0.430481502796149,1.02140139153233,0,"DNC-19"
0.581756814943542,1.11609394735585,0,"DNC-20"
0.642533333470601,1.20299222217671,0,"DNC-21"
0.576802536918224,1.15973035424262,0,"DNC-22"
0.499386690084584,1.07661998089936,0,"DNC-23"
0.477280254618381,1.04070250320591,0,"DNC-24"
0.451956856123937,1.0988612921977,0,"DNC-25"
0.606071829315499,1.10086788650922,0,"DNC-26"
0.587307608077946,1.17646993688068,0,"DNC-27"
0.648689541621025,1.2065454955702,0,"DNC-28"
0.408085013013005,1.05136391716398,0,"DNC-29"
0.453327973224508,1.06738417271665,0,"DNC-30"
0.377342893293361,1.00940296197,0.0018,"DNC-31"
0.507926001919006,1.07134292112711,0,"DNC-32"
0.478102665606958,1.03496634959019,0,"DNC-33"
0.471390229539521,1.05252346343927,0,"DNC-34"
0.435194459589679,1.14127189547051,0,"DNC-35"
0.312883303203012,0.999796179062519,0.6053,"DNC-36"
0.495105239999341,1.1194966588217,0,"DNC-37"
0.471165449648731,1.1209832136259,0,"DNC-38"
0.449373277424084,1.12006120439649,0,"DNC-39"
0.446956409934358,1.11227739603289,0,"DNC-40"
0.585192042300501,1.16263435471793,0,"DNC-41"
0.583778275282703,1.14997865552632,0,"DNC-42"
0.545143576887915,1.14565480454901,0,"DNC-43"
0.525090692201257,1.12026128729638,0,"DNC-44"
0.48485011056936,1.04679366495912,0,"DNC-45"
0.460193864121169,1.06880170602383,0,"DNC-46"
0.592692071126778,1.11409895803246,0,"DNC-47"
0.580806796206462,1.12671253690485,0,"DNC-48"
0.643585227974666,1.23001156397078,0,"DNC-49"
0.434274780508495,1.10699333689346,0,"DNC-50"
0.361169595690883,1.03701011433874,0,"DNC-51"
0.518308557697851,1.12564865563524,0,"DNC-52"
0.489597763286855,1.1252557352134,0,"DNC-53"
0.439522562738332,1.07550568145695,0,"DNC-54"
0.366231540064406,1.01549810309519,0,"DNC-55"
0.528435194000841,1.09354166188251,0,"DNC-56"
0.562634904914468,1.1399164076844,0,"DNC-57"
0.468925566436331,1.09230862736275,0,"DNC-58"
0.470456059283296,1.06719997494931,0,"DNC-59"
0.380892651770345,1.01248665755041,0,"DNC-60"
0.368852673843037,1.01741280835196,0,"DNC-61"
0.537007486389879,1.07518715549638,0,"DNC-62"
0.527720129594702,1.08726084175679,0,"DNC-63"
0.564555154961826,1.16033336918707,0,"DNC-64"
0.430447028216807,1.12950232419218,0,"DNC-65"
0.531522547501585,1.1447950455845,0,"DNC-66"
0.523955553588048,1.14906849687402,0,"DNC-67"
0.508246172076398,1.15475779721314,0,"DNC-68"
0.501249057380762,1.13827553573499,0,"DNC-69"
0.402995243664396,1.05535652268742,0,"DNC-70"
0.416580877265951,1.08775210389415,0,"DNC-71"
0.566283362708682,1.14619831880031,0,"DNC-72"
0.528061068466524,1.12094727744947,0,"DNC-73"
0.56976022529794,1.19244066209287,0,"DNC-74"
0.563732294283338,1.13569134961567,0,"DNC-75"
0.55021279927852,1.10628746259181,0,"DNC-76"
0.517423842213199,1.13692561646524,0,"DNC-77"
0.603796990948549,1.11485901262642,0,"DNC-78"
0.600833375680506,1.14745112690828,0,"DNC-79"
0.631268908595996,1.1795289835232,0,"DNC-80"
0.573284790432971,1.10387735285472,0,"DNC-81"
0.564839920892461,1.15905878171239,0,"DNC-82"
0.583801873296161,1.17842500458109,0,"DNC-83"
0.646168906331074,1.16320411190558,0,"DNC-84"
0.353813395158834,1.02152860509604,0,"DNC-85"
0.453511174300139,1.07184236854995,0,"DNC-86"
0.339335550005353,1.00922927081787,2e-04,"DNC-87"
0.50883646956357,1.13812769660927,0,"DNC-88"
0.506343706400257,1.07520527644313,0,"DNC-89"
0.401869470708385,1.03439663187032,0,"DNC-90"
0.397069525890115,1.05827260397643,0,"DNC-91"
0.300609919739411,1.0119844600235,0,"DNC-92"
0.465530897650246,1.08953231018649,0,"DNC-93"
0.461168274006112,1.04927221366445,0.1234,"DNC-94"
0.403747394928222,1.06342733809253,0,"DNC-95"
0.385714226179201,1.04905867617339,0,"DNC-96"
0.560861659199289,1.20967265927649,0,"DNC-97"
0.690173841183689,1.21403527549046,0,"DNC-98"
0.475423953606167,1.08449173065195,0,"DNC-99"
0.480920020466656,1.12311483725658,0,"DNC-100"
0.471722459581442,1.05132409000495,0,"DNC-101"
0.350264476967805,1.0136391083568,0,"DNC-102"
0.673773063903737,1.21273065931067,0,"DNC-103"
0.511733854196694,1.14857220631497,0,"DNC-104"
0.636983914320071,1.21045006666622,0,"DNC-105"
0.308825480575208,1.03504721859433,0,"DNC-106"
0.266688013622474,1.01298504566073,0,"DNC-107"
0.441583404506782,1.07105086933139,0,"DNC-108"
0.532158515693849,1.07831166929225,0,"DNC-109"
0.372447264798175,1.05399622399825,0,"DNC-110"
0.258860874300963,1.00913812400909,0.0135,"DNC-111"
0.464909080688866,1.11130394431756,0,"DNC-112"
0.557813517464605,1.10154101181287,0,"DNC-113"
0.382880256059695,1.0452262624568,0,"DNC-114"
0.419915899132741,1.07201602427379,0,"DNC-115"
0.362754973356284,1.01388910117533,0,"DNC-116"
0.318994235774232,1.01707487199533,0,"DNC-117"
0.537937574639466,1.08108712744202,0,"DNC-118"
0.506823839948277,1.13927568219997,0,"DNC-119"
0.632233665178682,1.24099096768668,0,"DNC-120"
0.221229745010995,1.01365255794255,0,"DNC-121"
0.420918051631979,1.06643853607693,0,"DNC-122"
0.426462525222992,1.06685354226006,0,"DNC-123"
0.391277715435236,1.06664758692288,0,"DNC-124"
0.416754417420954,1.06027562532642,0,"DNC-125"
0.353056422288477,1.02854195584776,0,"DNC-126"
0.316648533154336,1.04484831509602,0,"DNC-127"
0.523496704333002,1.0831280412477,0,"DNC-128"
0.476670432476506,1.09140498857366,0,"DNC-129"
0.532277536300518,1.09429849056013,0,"DNC-130"
0.454960841150745,1.09277277857548,0,"DNC-131"
0.500368136875396,1.07598483105948,0,"DNC-132"
0.350940377377139,1.01482024446079,0,"DNC-133"
0.658404882965318,1.15022644994637,0,"DNC-134"
0.523987607789684,1.1227127615604,0,"DNC-135"
0.658548195886902,1.12633146508068,0,"DNC-136"
0.561752437055766,1.10697803377779,0,"DNC-137"
0.512025131777264,1.13873474088264,0,"DNC-138"
0.582234067922943,1.11434010891171,0,"DNC-139"
0.678959983157219,1.21311741292197,0,"DNC-140"
0.340278680085985,1.02198211205545,0,"DNC-141"
0.288773967607501,1.00867967946041,9e-04,"DNC-142"
0.441563705041305,1.06376096733831,0,"DNC-143"
0.441245103856956,1.08465822236998,0,"DNC-144"
0.336834109103338,1.01610800215428,0,"DNC-145"
0.343353805892091,1.04123618803772,0,"DNC-146"
0.514139239562829,1.18573189954688,0,"DNC-147"
0.601713671685184,1.20708057470983,0,"DNC-148"
0.435564686164211,1.08419746381375,0,"DNC-149"
0.455082233336353,1.12532129411951,0,"DNC-150"
0.408012990973257,1.03908027377804,0,"DNC-151"
0.344190172916478,1.01440119436379,0,"DNC-152"
0.564907139239151,1.18050483976993,0,"DNC-153"
0.502215146972829,1.15793891501389,0,"DNC-154"
0.64358779824901,1.26741333989279,0,"DNC-155"
0.283257136768327,1.01809617004138,0,"DNC-156"
0.435900891143744,1.09865401134266,0,"DNC-157"
0.434923713730367,1.10083062255194,0,"DNC-158"
0.393704208224549,1.07061895961919,0,"DNC-159"
0.430103146388068,1.08119371554163,0,"DNC-160"
0.313654760453643,1.01043249928264,0,"DNC-161"
0.313958308144658,1.01362864344342,0,"DNC-162"
0.478929877405964,1.088615044592,0,"DNC-163"
0.461240304076035,1.07609409055405,0,"DNC-164"
0.455326227175766,1.10131551365327,0,"DNC-165"
0.5450503963613,1.23876780369397,0,"DNC-166"
0.604053014199,1.15744882999312,0,"DNC-167"
0.481911875808166,1.10127354986486,0,"DNC-168"
0.70785218914979,1.21895853171875,0,"DNC-169"
0.55202748956077,1.21288640736831,0,"DNC-170"
0.668527709052275,1.17182961111431,0,"DNC-171"
0.573761174711943,1.21535671954177,0,"DNC-172"
0.529535620012025,1.21534835524728,0,"DNC-173"
0.644305413368803,1.21579513214725,0,"DNC-174"
0.679328773565481,1.30694616477788,0,"DNC-175"
0.213695524926493,1.0049937043789,0.2074,"DNC-176"
0.41107777947075,1.04758250756751,0,"DNC-177"
0.506609529349267,1.12461780605176,0,"DNC-178"
0.289454978297932,1.0071976972844,0.0379,"DNC-179"
0.408344326371101,1.05868965400918,0,"DNC-180"
0.300970103239249,1.00642475606486,0.2064,"DNC-181"
0.289591549371175,1.00901507177913,0.0036,"DNC-182"
0.502499941935644,1.07213521423231,0,"DNC-183"
0.438600975975358,1.04874582607444,0,"DNC-184"
0.574662829134306,1.22207203500507,0,"DNC-185"
0.423124775978652,1.11157020146076,0,"DNC-186"
0.455535344309281,1.06611366183735,0,"DNC-187"
0.294998301720517,1.01082040069436,0,"DNC-188"
0.614820713532701,1.15799526477896,0,"DNC-189"
