Country,latitude,longitude,SiteBdDetected,SppDet,SppTested
Australia,-32.2666699999999,116,D,1,1
Australia,-32.25,116,N,0,1
Australia,-32.23333,115.98333,N,0,1
Australia,-32.23333,116,N,0,2
Australia,-32.21667,115.966669999999,D,1,1
Australia,-32.21667,116,D,2,2
Australia,-32.1499999999999,115.91667,N,0,1
Australia,-32.1499999999999,115.93333,N,0,1
Australia,-32.1499999999999,116.13333,N,0,1
Australia,-32.1166699999999,115.75,N,0,1
Australia,-32.1166699999999,116.15,N,0,2
Australia,-32.0833299999999,115.88333,D,1,2
Australia,-32.0833299999999,116,N,0,1
Australia,-32.0499999999999,115.91667,D,1,1
Australia,-32.0499999999999,116.01667,D,1,1
Australia,-32.0499999999999,116.01667,D,1,1
Australia,-32.0499999999999,116.18333,N,0,1
Australia,-32.0333299999999,115.98333,N,0,1
Australia,-32.0166699999999,115.849999999999,N,0,1
Australia,-32.0166699999999,115.9,D,1,4
Australia,-32.0166699999999,115.966669999999,N,0,1
Australia,-32.0166699999999,116.23333,N,0,1
Australia,-32,115.98333,N,0,2
Australia,-31.9833299999999,115.78333,N,0,1
Australia,-31.9833299999999,116.16667,D,3,3
Australia,-31.9833299999999,116.18333,D,1,1
Australia,-31.96667,115.78333,D,2,2
Australia,-31.96667,115.966669999999,D,1,3
Australia,-31.96667,116.11667,N,0,2
Australia,-31.96667,116.16667,N,0,1
Australia,-31.9499999999999,115.76667,N,0,2
Australia,-31.9499999999999,115.86667,D,1,1
Australia,-31.9499999999999,115.86667,D,1,1
Australia,-31.93333,115.76667,N,0,2
Australia,-31.93333,115.78333,D,3,5
Australia,-31.93333,115.8,N,0,1
Australia,-31.93333,115.966669999999,N,0,2
Australia,-31.91667,115.8,N,0,2
Australia,-31.91667,115.966669999999,D,1,1
Australia,-31.91667,115.98333,N,0,1
Australia,-31.91667,116.01667,N,0,1
Australia,-31.91667,116.03333,N,0,1
Australia,-31.91667,116.06667,N,0,3
Australia,-31.91667,116.349999999999,N,0,1
Australia,-31.8999999999999,115.78333,N,0,1
Australia,-31.8999999999999,115.8,D,1,2
Australia,-31.8999999999999,116,N,0,1
Australia,-31.8999999999999,116.03333,N,0,1
Australia,-31.8999999999999,116.2,N,0,2
Australia,-31.8999999999999,116.349999999999,N,0,1
Australia,-31.88333,115.78333,N,0,1
Australia,-31.88333,115.88333,N,0,1
Australia,-31.88333,116.06667,N,0,1
Australia,-31.8666699999999,115.95,N,0,1
Australia,-31.8666699999999,116,N,0,1
Australia,-31.8666699999999,116.03333,N,0,2
Australia,-31.8666699999999,116.05,N,0,2
Australia,-31.8666699999999,116.2,D,1,1
Australia,-31.85,115.78333,N,0,1
Australia,-31.85,116.03333,D,1,3
Australia,-31.83333,115.78333,N,0,1
Australia,-31.8166699999999,115.8,N,0,1
Australia,-31.8166699999999,115.81667,N,0,1
Australia,-31.8166699999999,115.93333,N,0,1
Australia,-31.76667,115.8,N,0,1
Australia,-31.76667,116,N,0,1
Australia,-31.68333,115.75,N,0,1
Australia,-31.66667,116.03333,D,1,1
Australia,-30.16667,115.23333,N,0,1
Australia,-30.1499999999999,115.23333,N,0,1
Australia,-30.08333,115.31667,N,0,1
Australia,-29.96667,115.966669999999,N,0,1
Australia,-28.7333299999999,115,N,0,2
Australia,-28.6166699999999,114.73333,N,0,2
Australia,-28.6,114.7,D,1,1
Australia,-28.6,114.716669999999,N,0,1
Australia,-28.35,114.51667,N,0,1
Australia,-28.21667,114.36667,N,0,1
Australia,-24.6999999999999,119.599999999999,N,0,1
Australia,-23.68333,115.63333,N,0,1
Australia,-15.8666699999999,128.73333,N,0,2
Australia,-15.76667,128.73333,N,0,1
Australia,-15.66667,128.65,N,0,1
Australia,-15.51667,128.833329999999,N,0,2
Australia,-15.43,126.4,N,,
Australia,-15.4,126.36,N,,
Australia,-15.38,126.29,N,,
Australia,-15.38,126.33,N,,
Australia,-15.22,126.21,N,,
Australia,-15.19,125.9,N,,
Australia,-15.13,126.14,N,,
Australia,-14.84,126.28,N,,
Australia,-14.8,126.5,N,,
Australia,-14.79,126.53,N,,
Australia,-14.78,126.49,N,,
Australia,-14.77,126.51,N,,
Australia,-14.74,126.46,N,,
Australia,-14.52,126.46,N,,
Austria,48.057906,16.84493,D,1,1
Austria,48.6069999999999,16.9046999999999,D,2,2
Austria,47.07978,10.6908999999999,D,1,1
Austria,47.25292,11.3284,D,1,1
Austria,47.37001,11.7164,D,1,1
Austria,47.40023,13.4842,D,2,2
Austria,47.6307699999999,12.2141,D,2,2
Austria,48.15082,16.2501,D,1,1
Austria,48.16758,16.5128799999999,D,3,3
Austria,48.18591,16.4736,D,3,3
Austria,47.2599999999999,10.6,N,0,1
Austria,47.31,10.0299999999999,N,0,1
Bolivia,-17.9332999999999,-65.4833299999999,D,1,1
Botswana,-24.9777899999999,25.34258,D,1,1
Botswana,-24.6459,22.5041,D,1,1
Brazil,-16.6799,-49.255,D,1,1
Brazil,-22.85,-46.016667,D,7,7
Brazil,-20.23722,-46.3558299999999,N,0,1
Brazil,-22.42498,-42.9638599999999,N,0,1
Brazil,-29.44395,-50.57902,D,1,1
Brazil,-28.51667,-49.46667,N,0,1
Brazil,-28.39599,-49.39571,D,1,1
Brazil,-26.25046,-49.3817099999999,D,1,1
Brazil,-24.3172999999999,-46.9955599999999,D,1,1
Brazil,-24.2276799999999,-48.77074,N,0,1
Brazil,-23.8,-45.366667,D,8,10
Brazil,-23.6671499999999,-46.51471,D,1,1
Brazil,-23.4350999999999,-45.0708199999999,D,1,1
Brazil,-23.283333,-45.1,D,10,11
Brazil,-23.2225,-45.31015,D,5,6
Brazil,-23.18645,-46.88445,N,0,2
Brazil,-23.1020299999999,-45.70687,D,1,1
Brazil,-22.91635,-45.46491,N,0,1
Brazil,-22.7552999999999,-46.1455199999999,D,2,2
Brazil,-22.5046399999999,-43.18233,D,2,2
Brazil,-22.41045,-47.56239,D,1,3
Brazil,-21.2553899999999,-48.32242,N,0,1
Brazil,-22.37,-44.7,D,1,1
Brazil,-22.37,-44.4099999999999,D,1,1
Brazil,-19.01066,-57.6542999999999,N,0,2
Brazil,-6.16666999999999,-72.9333299999999,D,1,1
Brunei,4.44599999999999,115.211,N,0,4
Brunei,4.53899999999999,115.129,N,0,10
Cambodia,12.3036167,103.1008333,D,4,7
Cambodia,12.32,107.1,N,,
Cameroon,3.39,13.12,N,0,1
Cameroon,3.47,13.06,N,0,1
Cameroon,4.41,9.45,D,1,1
Cameroon,4.42321999999999,14.366,D,1,1
Cameroon,4.57,9.51,D,1,1
Cameroon,4.75,10.82,D,3,3
Cameroon,4.83,11.06,N,0,2
Cameroon,5.37,10.02,D,1,1
Cameroon,6.19212,10.4594,N,0,24
Cameroon,6.22,10.46,D,1,1
Canada,48.5,-123.45,D,1,1
Canada,45.329,-78.9129999999999,N,0,1
