"Longitude","Latitude","Date","N.sampled","N.positive","Prevalence"
-75.54059,-10.04908,"2008",10,0,0
-75.97976,-9.4247,"2011",21,0,0
-75.00175,-9.36759,"2008",23,0,0
-75.62542,-9.35322,"2011",5,0,0
-76.02715,-9.32867,"2008",19,1,0.0526315789473684
-76.02953,-9.32597,"2011",8,0,0
-75.99294,-9.3138,"2011",15,0,0
-75.7844,-9.18687,"2011",20,0,0
-75.99635,-9.14174,"2008",17,0,0
-75.66543,-9.05734,"2008",6,0,0
-76.08714,-8.59656,"2007",20,0,0
-74.59022,-8.32561,"2008",29,0,0
-74.6462,-8.27521,"2011",16,0,0
-77.5833,-7.78333,"1999",3,2,0.666666666666667
-76.66486,-7.42755,"2011",15,0,0
-76.71284,-7.29324,"2011",13,0,0
-76.82817,-6.89635,"2007",32,0,0
-76.25318,-6.72453,"2007",5,0,0
-76.6146,-6.62203,"2011",21,1,0.0476190476190476
-75.91939,-6.58899,"2007",36,0,0
-76.12622,-6.5692,"2007",42,0,0
-76.11102,-6.54057,"2011",25,0,0
-76.34968,-6.4585,"2007",43,0,0
-76.30843,-6.4578,"2007",15,2,0.133333333333333
-76.34692,-6.45594,"2011",15,0,0
-76.30763,-6.4539,"2011",13,2,0.153846153846154
-76.29211,-6.4312,"2003",1,1,1
-76.29211,-6.4312,"2011",2,0,0
-76.30882,-6.43118,"2007",16,0,0
-76.2901,-6.4194,"2007",58,0,0
-76.51527,-6.38493,"2007",1,0,0
-77.4833,-6.3833,"2007-2008",23,0,0
-76.29165,-6.37025,"2011",17,1,0.0588235294117647
-76.2636,-6.3115,"2011",21,0,0
-76.2306,-6.29428,"2011",40,0,0
-76.23598,-6.29388,"2007",58,0,0
-76.64,-6.27605,"2011",4,0,0
-77.89534,-6.05694,"2011",15,0,0
-77.4317222222,-5.9350833333,"3/07/2014",1,1,1
-77.77367,-5.6775,"2011",4,0,0
-77.77082,-5.67127,"2011",9,3,0.333333333333333
-78.55473,-5.4406,"2007",11,1,0.0909090909090909
-78.55464,-5.43994,"2011",16,0,0
-78.39574,-5.30106,"2011",4,0,0
-78.40616,-5.29547,"2011",5,0,0
-73.15365,-4.17703,"2007",26,0,0
-73.375,-3.9586,"2007",37,0,0
-73.33228,-3.75067,"2007",15,0,0
-73.28228,-3.75067,"2007",1,0,0
-73.2835,-3.68572,"2007",17,1,0.0588235294117647
